valuation_date,expiry_date,days_to_expiry,time_to_expiry,option_type,spot,strike,moneyness,log_moneyness,implied_volatility,bid,ask,mid,spread,delta,gamma,vega,theta,rho
2025-12-31,2026-01-30,30,0.0821917808219178,call,678.3152465820312,542.65,0.7999967607014052,-0.22314760044565093,0.17043748053937613,135.75185746863636,137.80352282080716,136.77769014472176,2.051665352170801,0.9990124305008667,2.560487651698821e-07,0.0016503624715565794,-13.504673703986573,44.45487723197161
2025-12-31,2026-01-30,30,0.0821917808219178,put,678.3152465820312,542.65,0.7999967607014052,-0.22314760044565093,0.17043748053937613,0.0,0.00501168578142082,1.1685781420819321e-05,0.00501168578142082,-1.7543645950162246e-06,2.560487651698821e-07,0.0016503624715565794,-0.0016773542572384478,-9.876970144800287e-05
2025-12-31,2026-01-30,30,0.0821917808219178,call,678.3152465820312,576.57,0.8500030080486672,-0.16251539062325174,0.16278087182615736,102.19823460486555,103.74279230670231,102.97051345578393,1.5445577018367658,0.998825405997861,2.2681298763756822e-05,0.13962488789196595,-14.989961093126478,47.22312231008652
2025-12-31,2026-01-30,30,0.0821917808219178,put,678.3152465820312,576.57,0.8500030080486672,-0.16251539062325174,0.16278087182615736,0.0,0.006500304839149064,0.0015003048391490637,0.006500304839149064,-0.00018877886760071804,2.2681298763756822e-05,0.13962488789196595,-0.13461813107731357,-0.010648100462893705
2025-12-31,2026-01-30,30,0.0821917808219178,call,678.3152465820312,610.48,0.8999945129881027,-0.10536661235629698,0.15637187406200267,68.72885692970752,69.76758020824215,69.24821856897483,1.0387232785346328,0.9913482947786576,0.0006941873512976168,4.10512972085801,-19.963632690460933,49.57795433856054
2025-12-31,2026-01-30,30,0.0821917808219178,put,678.3152465820312,610.48,0.8999945129881027,-0.10536661235629698,0.15637187406200267,0.07290354875313276,0.08290354875313277,0.07790354875313277,0.010000000000000009,-0.007665890086804152,0.0006941873512976168,4.10512972085801,-3.7563418031828464,-0.43379126081543345
2025-12-31,2026-01-30,30,0.0821917808219178,call,678.3152465820312,644.4,0.9500007603353645,-0.051292494034855536,0.15102940022967215,36.567428706987116,37.12008506024132,36.84375688361422,0.552656353254207,0.8951769093461053,0.006139740694169217,35.067360277216245,-47.74675435361642,46.87959362581068
2025-12-31,2026-01-30,30,0.0821917808219178,put,678.3152465820312,644.4,0.9500007603353645,-0.051292494034855536,0.15102940022967215,1.470991367602627,1.4932229751734474,1.4821071713880372,0.022231607570820433,-0.1038372755193564,0.006139740694169217,35.067360277216245,-30.18711685401851,-5.9109463824416375
2025-12-31,2026-01-30,30,0.0821917808219178,call,678.3152465820312,678.32,1.0000070076826266,7.007658072932023e-06,0.14660972970681288,12.051398363852824,12.23353536683297,12.142466865342897,0.182137002980145,0.5296096419712527,0.01393901234436881,77.28342200025267,-78.50030371136342,28.52875298799523
2025-12-31,2026-01-30,30,0.0821917808219178,put,678.3152465820312,678.32,1.0000070076826266,7.007658072932023e-06,0.14660972970681288,10.510061342654025,10.668903579570712,10.589482461112368,0.15884223691668709,-0.46940454289420913,0.01393901234436881,77.28342200025267,-59.588319599445676,-27.040581429133436
2025-12-31,2026-01-30,30,0.0821917808219178,call,678.3152465820312,712.23,1.049998512622062,0.048788747618011455,0.142992831531421,1.809591803080139,1.8369407975851284,1.8232663003326337,0.0273489945049894,0.13261906993659672,0.00771066032131956,41.69628721960156,-38.716357278593875,7.243912670563529
2025-12-31,2026-01-30,30,0.0821917808219178,put,678.3152465820312,712.23,1.049998512622062,0.048788747618011455,0.142992831531421,33.81346267662414,34.32449737702652,34.06898002682533,0.5110347004023765,-0.866395114928865,0.00771066032131956,41.69628721960156,-18.452425241447216,-51.10339693539169
2025-12-31,2026-01-30,30,0.0821917808219178,call,678.3152465820312,746.15,1.100004759969324,0.09531450703980227,0.14007531238065052,0.09453407440501127,0.10453407440501128,0.09953407440501127,0.010000000000000009,0.010824957233048023,0.0010482797438013851,5.553034114755221,-4.933493354729706,0.5953314624961562
2025-12-31,2026-01-30,30,0.0821917808219178,put,678.3152465820312,746.15,1.100004759969324,0.09531450703980227,0.14007531238065052,65.65775876057653,66.65006745720991,66.15391310889322,0.9923086966333869,-0.9881892276324138,0.0010482797438013851,5.553034114755221,16.682785294736778,-60.53077255233542
