date,spot,base_volatility,call_implied_volatility,put_implied_volatility,option_value,option_pnl,option_delta,gamma,vega,theta,rho,hedge_position,hedge_cash,hedge_equity,hedge_trade_quantity,hedge_transaction_cost,post_hedge_delta,cumulative_turnover,cumulative_hedge_costs,total_pnl
2025-03-03,573.9441528320312,0.13925155396827188,0.16355249916799564,0.16355249916799564,2145.0518939621816,-16.087889204716248,5.788213532427367,2.9540894737996157,13081.227290289655,-13022.310485346736,96.74460972474606,-6.0,3442.9461840087893,-0.7187329833982403,-6.0,0.37436649169921876,-0.21178646757263309,3443.6649169921875,0.37436649169921876,-16.80662218811449
2025-03-04,567.1505126953125,0.14176402991155862,0.1650570985771815,0.1650570985771815,2158.9097536024497,-2.2300295644481594,-14.639627417903188,2.9698402191995004,12527.634742849734,-12693.885439783284,-831.2100726868586,15.0,-8469.701614746093,37.55607568359483,21.0,1.2960160766601563,0.36037258209681156,15353.82568359375,1.6703825683593752,35.32604611914667
2025-03-05,573.24609375,0.14401974661658035,0.16807769052605095,0.16807769052605095,2126.5192025743318,-34.62058059256606,3.4609086586822158,2.984330683416751,12644.57949320901,-13822.707351730773,-10.936633776596238,-3.0,1846.574386816407,126.83610556640701,-18.0,1.12184296875,0.46090865868221575,25672.25537109375,2.792225537109375,92.21552497384118
2025-03-06,563.0702514648438,0.1501110690386298,0.17270498897955572,0.17270498897955572,2264.8728588469025,103.73307568000473,-26.55150008468833,2.845288721094909,11524.637964175674,-12944.170982600297,-1273.4555687236489,27.0,-15049.061578637695,153.83521091308648,30.0,1.839210754394531,0.44849991531167177,42564.36291503906,4.631436291503906,257.5682865930912
2025-03-07,566.226318359375,0.15082528755705554,0.1737682007526289,0.1737682007526289,2170.2322383606515,9.092455193753722,-17.830467530246867,2.9595130620062715,11744.949457399996,-13956.039669505424,-873.7647062701548,18.0,-9954.088920776367,237.98480969238335,-9.0,0.5546036865234375,0.16953246975313263,47660.39978027344,5.186039978027344,247.07726488613707
2025-03-10,551.14453125,0.16459467057746358,0.18531492776189598,0.18531492776189598,2768.5964487736214,607.4566656067236,-58.163497585534806,2.2399519652704254,7945.387565114493,-10674.839685554965,-2194.457729897302,58.0,-32004.479327026365,-38.096514526365354,40.0,2.404578125,-0.16349758553480598,69706.18103027344,7.590618103027344,569.3601510803583
2025-03-11,546.5628662109375,0.16306087901968588,0.18312010870802203,0.18312010870802203,3019.774107529058,858.63432436216,-69.51399078370922,1.9146675516929006,6313.053581837221,-8405.319410037791,-2472.0489954650548,70.0,-38564.605472436524,-305.204837670899,12.0,0.715875439453125,0.48600921629078186,76264.93542480469,8.30649354248047,553.429486691261
2025-03-12,549.4632568359375,0.16410068352520155,0.1844399285384263,0.1844399285384263,2808.9166280349846,647.7768448680868,-64.54237828954554,2.135209730611717,6840.6792518688835,-9859.38578080915,-2201.984170262633,65.0,-35817.86365151367,-102.75195717773022,-5.0,0.2997316284179688,0.4576217104544611,79012.25170898438,8.606225170898439,545.0248876903565
2025-03-13,542.1386108398438,0.16628854204361912,0.1856294473578164,0.1856294473578164,3321.6946249024954,1160.5548417355976,-78.99337491808684,1.5403461684689574,4604.929787578861,-6468.16864153893,-2528.605653070962,79.0,-43409.392191381834,-580.4419350341777,14.0,0.8289940551757813,0.006625081913156805,86602.19226074219,9.43521922607422,580.1129067014199
2025-03-14,553.3369750976562,0.17522849796912085,0.1958865867159211,0.1958865867159211,2595.827754005545,434.6879708386473,-55.420406305119144,2.410016315012889,7524.277446975384,-13194.760060456252,-1731.4459370238403,55.0,-30132.080806518552,301.45282385254177,-24.0,1.4480087402343749,-0.420406305119144,99882.27966308594,10.883227966308596,736.1407946911891
