trade_date,quantity,reference_spot,execution_price,transaction_cost,pre_trade_position,post_trade_position,option_delta,post_hedge_delta,notional
2025-03-03,-6.0,573.9441528320312,573.8867584167481,0.37436649169921876,0.0,-6.0,5.788213532427367,-0.21178646757263309,3443.6649169921875
2025-03-04,21.0,567.1505126953125,567.207227746582,1.2960160766601563,-6.0,15.0,-14.639627417903188,0.36037258209681156,11910.160766601562
2025-03-05,-18.0,573.24609375,573.188769140625,1.12184296875,15.0,-3.0,3.4609086586822158,0.46090865868221575,10318.4296875
2025-03-06,30.0,563.0702514648438,563.1265584899902,1.839210754394531,-3.0,27.0,-26.55150008468833,0.44849991531167177,16892.107543945312
2025-03-07,-9.0,566.226318359375,566.1696957275391,0.5546036865234375,27.0,18.0,-17.830467530246867,0.16953246975313263,5096.036865234375
2025-03-10,40.0,551.14453125,551.199645703125,2.404578125,18.0,58.0,-58.163497585534806,-0.16349758553480598,22045.78125
2025-03-11,12.0,546.5628662109375,546.6175224975586,0.715875439453125,58.0,70.0,-69.51399078370922,0.48600921629078186,6558.75439453125
2025-03-12,-5.0,549.4632568359375,549.408310510254,0.2997316284179688,70.0,65.0,-64.54237828954554,0.4576217104544611,2747.3162841796875
2025-03-13,14.0,542.1386108398438,542.1928247009278,0.8289940551757813,65.0,79.0,-78.99337491808684,0.006625081913156805,7589.9405517578125
2025-03-14,-24.0,553.3369750976562,553.2816414001464,1.4480087402343749,79.0,55.0,-55.420406305119144,-0.420406305119144,13280.08740234375
2025-03-17,-7.0,557.6038818359375,557.5481214477539,0.42532271728515625,55.0,48.0,-48.08162116497307,-0.08162116497307181,3903.2271728515625
2025-03-18,17.0,551.5770263671875,551.6321840698242,1.0226809448242187,48.0,65.0,-65.34503727394724,-0.3450372739472414,9376.809448242188
2025-03-19,-14.0,557.584228515625,557.5284700927734,0.8506179199218751,65.0,51.0,-51.32152996740788,-0.32152996740788353,7806.17919921875
2025-03-20,7.0,555.9718017578125,556.0273989379883,0.4241802612304687,51.0,58.0,-57.83764445666991,0.1623555433300865,3891.8026123046875
2025-03-21,2.0,556.1552734375,556.2108889648438,0.12123105468749999,58.0,60.0,-60.31156945577067,-0.3115694557706732,1112.310546875
2025-03-24,-30.0,566.1151733398438,566.0585618225098,1.8483455200195311,60.0,30.0,-30.48479997137014,-0.4847999713701405,16983.455200195312
2025-03-25,-3.0,567.4760131835938,567.4192655822754,0.18524280395507814,30.0,27.0,-26.698140828058765,0.3018591719412349,1702.4280395507812
2025-03-26,30.0,560.7013549804688,560.7574251159668,1.8321040649414062,27.0,57.0,-57.15282065412407,-0.15282065412407064,16821.040649414062
2025-03-27,10.0,559.2123413085938,559.2682625427246,0.6092123413085938,57.0,67.0,-67.34960131169692,-0.3496013116969152,5592.1234130859375
2025-03-28,28.0,547.95068359375,548.0054786621093,1.6742619140625,67.0,95.0,-94.86175840160452,0.13824159839548145,15342.619140625
2025-03-31,4.0,551.6289672851562,551.6841301818847,0.2406515869140625,95.0,99.0,-99.27525295490922,-0.2752529549092202,2206.515869140625
2025-04-02,-99.0,556.687744140625,556.632075366211,6.006208666992188,99.0,0.0,0.0,0.0,55112.086669921875
